<<<<<<< HEAD
Name,city,state_code,Rank_USNewsWorldReport,TuitionFees,Undergrad_Enrollment,longitude,latitude,website,yearFounded,studentFacultyRatio,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
University of Chicago,Chicago,IL,3,52491,,5844,20413,Urban,-87.6012,41.7902,http://www.uchicago.edu,,Midwest,1890,Private not-for-profit,Doctoral Universities: Very High Research Activity,5,40317227,57,52
Yale University,New Haven,CT,3,49480,,5532,14910,Urban,-72.9234,41.3140,http://www.yale.edu,,Northeast,1701,Private not-for-profit,Doctoral Universities: Very High Research Activity,4,48430359,61,53
Columbia University,New York,NY,5,55056,,6102,33882,Urban,-73.9613,40.8065,http://www.columbia.edu,,Northeast,1754,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,44615007,58,54
Stanford University,Stanford,CA,5,47940,,6999,20961,Suburban,-122.1689,37.4314,http://www.stanford.edu,,West,1891,Private not-for-profit,Doctoral Universities: Very High Research Activity,4,51328461,70,55
Massachusetts Institute of Technology,Cambridge,MA,7,48452,,4527,12195,Urban,-71.0935,42.3590,http://web.mit.edu,,Northeast,1861,Private not-for-profit,Doctoral Universities: Very High Research Activity,3,35299332,75,60
Duke University,Durham,NC,8,51265,,6639,17855,Urban,-78.9403,36.0014,http://www.duke.edu,,South,1924,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,41087604,63,47
University of Pennsylvania,Philadelphia,PA,8,51464,,9726,30688,Urban,-75.1624,39.9523,http://www.upenn.edu,,Northeast,1740,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,59744979,57,47
Johns Hopkins University,Baltimore,MD,10,50410,,6524,34250,Urban,-76.6096,39.2906,http://www.jhu.edu,,,1876,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,41160533,65,57
Dartmouth College,Hanover,NH,11,51438,,4307,7171,Rural,-72.2895,43.7005,http://www.dartmouth.edu,,Northeast,1769,Private not-for-profit,Doctoral Universities: Very High Research Activity,7,27997693,58,45
California Institute of Technology,Pasadena,CA,12,47577,,1001,2319,Urban,-118.1259,34.1359,http://www.caltech.edu,,West,1891,Private not-for-profit,Doctoral Universities: Very High Research Activity,3,6455026,74,57
Northwestern University,Evanston,IL,12,50855,,8314,25870,Urban,-87.6787,42.0497,http://www.northwestern.edu,,Midwest,1851,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,61176584,66,61
Brown University,Providence,RI,14,51367,,6652,10807,Urban,-71.4497,41.8582,http://www.brown.edu,,Northeast,1764,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,36177528,55,44
Cornell University,Ithaca,NY,15,50953,,14315,24594,Urban,-76.4845,42.4536,http://www.cornell.edu,,Northeast,1865,Private not-for-profit,Doctoral Universities: Very High Research Activity,9,70971547,59,47
Rice University,Houston,TX,15,43918,,3910,8005,Urban,-95.3698,29.7605,http://www.rice.edu,,South,1891,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,27486883,70,60
University of Notre Dame,Notre Dame,IN,15,49685,,8462,13268,Suburban,-86.2392,41.7007,http://www.nd.edu,,Midwest,1842,Private not-for-profit,Doctoral Universities: Very High Research Activity,9,50856461,68,56
Vanderbilt University,Nashville,TN,15,45610,,6883,13918,Urban,-86.8015,36.1503,http://www.vanderbilt.edu,,South,1873,Private not-for-profit,Doctoral Universities: Very High Research Activity,8,47391010,67,62
Washington University in St. Louis,St. Louis,MO,19,49770,,7504,17893,Suburban,-90.3013,38.6478,http://www.wustl.edu,,Midwest,1853,Private not-for-profit,Doctoral Universities: Very High Research Activity,7,39741443,54,46
Emory University,Atlanta,GA,20,47954,,6867,15970,Urban,-84.3257,33.7898,http://www.emory.edu,,South,1836,Private not-for-profit,Doctoral Universities: Very High Research Activity,9,34494686,58,53
Georgetown University,Washington,DC,20,50547,,7562,22720,Urban,-77.0290,38.8991,http://www.georgetown.edu,,Northeast,1789,Private not-for-profit,Doctoral Universities: Very High Research Activity,11,31716749,54,44
University of California--Berkeley,Berkeley,CA,20,40191,13509,27496,,,-122.2591,37.8720,https://www.berkeley.edu/,,,1868,,,,,,
University of Southern California,Los Angeles,CA,23,52217,,18810,52376,Urban,-118.2828,34.0192,http://www.usc.edu,,West,1880,Private not-for-profit,Doctoral Universities: Very High Research Activity,9,77361905,70,65
Carnegie Mellon University,Pittsburgh,PA,24,52040,,6454,15567,Urban,-79.9431,40.4446,http://www.cmu.edu,,Northeast,1900,Private not-for-profit,Doctoral Universities: Very High Research Activity,5,29629565,60,50
University of California--Los Angeles,Los Angeles,CA,24,39518,12836,29585,,,-122.2584,37.8719,https://www.ucla.edu/,,,1919,,,,,,
University of Virginia,Charlottesville,VA,24,45066,15722,16736,29237,Suburban,-78.5810,38.0787,http://www.virginia.edu,,South,1819,Public,Doctoral Universities: Very High Research Activity,15,34787367,60,39
Tufts University,Medford,MA,27,52430,,5290,13458,Suburban,-71.1088,42.4198,http://www.tufts.edu,,Northeast,1852,Private not-for-profit,Doctoral Universities: Very High Research Activity,10,26409169,44,38
University of Michigan--Ann Arbor,Ann Arbor,MI,27,43476,13856,28312,,,-83.7382,42.2780,https://umich.edu/,,,1817,,,,,,
Wake Forest University,Winston-Salem,NC,27,49308,,4871,9266,Urban,-80.2740,36.1368,http://www.wfu.edu,,South,1834,Private not-for-profit,Doctoral Universities: High Research Activity,11,22194015,44,34
University of North Carolina--Chapel Hill,Chapel Hill,NC,30,33916,8834,18415,,,-79.0468,35.9046,https://www.unc.edu/,,,1789,,,,,,
Boston College,Chestnut Hill,MA,31,51296,,9192,16502,Urban,-71.1646,42.3261,http://www.bc.edu,,Northeast,1863,Private not-for-profit,Doctoral Universities: Very High Research Activity,14,48015609,56,45
College of William & Mary,Williamsburg,VA,32,41718,18687,6301,,,-76.7166,37.2711,https://www.wm.edu/,,,1693,,,,,,
University of Rochester,Rochester,NY,32,50142,,6304,14171,Urban,-77.6199,43.1330,http://www.rochester.edu,,Northeast,1850,Private not-for-profit,Doctoral Universities: Very High Research Activity,10,47735154,83,82
Brandeis University,Waltham,MA,34,51570,,3621,6403,Urban,-71.2550,42.3659,http://www.brandeis.edu,,Northeast,1948,Private not-for-profit,Doctoral Universities: Very High Research Activity,10,19437305,72,69
Georgia Institute of Technology,Atlanta,GA,34,32404,12212,15142,43217,Urban,-84.3944,33.7713,http://www.gatech.edu,,South,1885,Public,Doctoral Universities: Very High Research Activity,19,27952964,73,70
New York University,New York,NY,36,49062,,25722,58361,Urban,-73.9972,40.7298,http://www.nyu.edu,,Northeast,1831,Private not-for-profit,Doctoral Universities: Very High Research Activity,8,98732499,65,60
Case Western Reserve University,Cleveland,OH,37,46006,,5121,12298,Urban,-81.6090,41.5060,http://www.case.edu,,Midwest,1826,Private not-for-profit,Doctoral Universities: Very High Research Activity,11,40564474,90,88
University of California--Santa Barbara,Santa Barbara,CA,37,40704,14022,20607,,,-119.8489,34.4140,https://www.ucsb.edu/,,,1891,,,,,,
Boston University,Boston,MA,39,50240,,17932,42047,Urban,-71.0988,42.3502,http://www.bu.edu,,Northeast,1839,Private not-for-profit,Doctoral Universities: Very High Research Activity,10,68722830,53,48
Northeastern University,Boston,MA,39,47655,,13697,30003,Urban,-71.0890,42.3403,http://www.northeastern.edu,,Northeast,1898,Private not-for-profit,Doctoral Universities: Very High Research Activity,14,84882594,82,80
Rensselaer Polytechnic Institute,Troy,NY,39,50797,,5864,8256,Urban,-73.6840,42.7314,http://www.rpi.edu,,Northeast,1824,Private not-for-profit,Doctoral Universities: Very High Research Activity,17,48771095,88,88
Tulane University,New Orleans,LA,39,51010,,6662,14652,Urban,-90.1240,29.9354,http://www.tulane.edu,,South,1834,Private not-for-profit,Doctoral Universities: Very High Research Activity,8,40554223,80,79
University of California--Irvine,Irvine,CA,39,39458,14750,25256,,,-117.8443,33.6405,https://uci.edu/,,,1965,,,,,,
Lehigh University,Bethlehem,PA,44,48320,,5075,7445,Urban,-75.3789,40.6072,http://www4.lehigh.edu/default.aspx,,Northeast,1865,Private not-for-profit,Doctoral Universities: High Research Activity,9,30545970,69,51
University of California--Davis,Davis,CA,44,40728,14046,28384,,,-121.7405,38.5449,https://www.ucdavis.edu/,,,1905,,,,,,
University of California--San Diego,San Diego,CA,44,41387,14705,26590,,,-117.0719,32.7748,https://ucsd.edu/,,,1960,,,,,,
University of Illinois--Urbana-Champaign,Champaign,IL,44,31320,15698,33368,,,-88.2283,40.1106,https://illinois.edu/,,,1867,,,,,,
University of Miami,Miami,FL,44,47004,,11122,,,-80.2781,25.7174,https://welcome.miami.edu/,,,1925,,,,,,
University of Wisconsin--Madison,Madison,WI,44,32738,10488,31662,,,-89.4012,43.0731,https://www.wisc.edu/,,,1848,,,,,,
Pepperdine University,Malibu,CA,50,50022,,3533,10579,Suburban,-118.6896,34.0362,http://www.pepperdine.edu,,West,1937,Private not-for-profit,Doctoral/Professional Universities,13,19903186,96,96
University of Florida,Gainesville,FL,50,28666,6389,35043,58857,Urban,-82.3232,29.6520,http://www.ufl.edu,,,1853,Public,Doctoral Universities: Very High Research Activity,17,69127340,91,89
Villanova University,Villanova,PA,50,49280,,6994,12231,Suburban,-75.3486,40.0358,http://www.villanova.edu,,Northeast,1842,Private not-for-profit,Doctoral Universities: High Research Activity,11,31714953,64,54
Pennsylvania State University--University Park,State College,PA,50,32382,17900,40742,,,-77.8599,40.7982,https://www.psu.edu/,,,1855,,,,,,
Ohio State University--Columbus,Columbus,OH,54,29229,10037,45289,,,-83.0148,39.9993,https://www.osu.edu/,,,1870,,,,,,
University of Washington,Seattle,WA,54,34791,10753,31063,,,-122.3032,47.6555,https://www.washington.edu/,,,1861,,,,,,
George Washington University,Washington,DC,56,51950,,11157,32209,Urban,-76.9735,38.9030,http://www.gwu.edu,,Northeast,1821,Private not-for-profit,Doctoral Universities: Very High Research Activity,13,63297253,72,71
Southern Methodist University,Dallas,TX,56,50358,,6411,12963,Suburban,-96.7857,32.8444,http://www.smu.edu,,South,1911,Private not-for-profit,Doctoral Universities: High Research Activity,11,40437904,78,75
University of Georgia,Athens,GA,56,29844,11634,27547,42941,Urban,-83.3935,33.9252,http://www.uga.edu,,South,1785,Public,Doctoral Universities: Very High Research Activity,17,56378523,92,90
University of Texas--Austin,Austin,TX,56,34676,9806,39619,,,-97.7341,30.2849,https://www.utexas.edu/,,,1883,,,,,,
Fordham University,Bronx,NY,60,47317,,8855,19139,Urban,-73.9232,40.8257,http://www.fordham.edu,,Northeast,1841,Private not-for-profit,Doctoral Universities: High Research Activity,13,64695360,92,91
Purdue University--West Lafayette,West Lafayette,IN,60,28804,10002,29497,,,-86.9081,40.4259,https://www.purdue.edu/,,,1869,,,,,,
Syracuse University,Syracuse,NY,60,45022,,15196,38868,Urban,-76.1474,43.0500,http://syracuse.edu,,Northeast,1870,Private not-for-profit,Doctoral Universities: Very High Research Activity,15,80616960,88,86
University of Connecticut,Storrs,CT,60,35858,14066,18826,29818,Suburban,-72.2501,41.8085,http://uconn.edu,,Northeast,1881,Public,Doctoral Universities: Very High Research Activity,16,34234946,77,67
University of Maryland--College Park,College Park,MD,60,32045,10181,27443,,,-76.9378,38.9897,https://www.umd.edu/,,,1856,,,,,,
Worcester Polytechnic Institute,Worcester,MA,60,46994,,4299,7654,Urban,-71.8078,42.2727,http://www.wpi.edu,,Northeast,1865,Private not-for-profit,Doctoral Universities: High Research Activity,13,28031500,100,99
Clemson University,Clemson,SC,66,32796,14240,18016,28933,Suburban,-82.8389,34.6769,http://www.clemson.edu,,South,1889,Public,Doctoral Universities: Very High Research Activity,16,33917026,89,85
Yeshiva University,New York,NY,66,40670,,2744,6174,Urban,-73.9294,40.8506,http://www.yu.edu,,Northeast,1886,Private not-for-profit,Doctoral Universities: High Research Activity,7,13662852,87,86
Brigham Young University--Provo,Provo,UT,68,5300,,30221,,,-111.6585,40.2338,https://www.byu.edu/,,,1875,,,,,,
University of Pittsburgh,Pittsburgh,PA,68,29758,18618,18908,35563,Urban,-79.9975,40.4383,http://www.pitt.edu,,Northeast,1787,Public,Doctoral Universities: Very High Research Activity,14,34485031,78,63
Rutgers University--New Brunswick,New Brunswick,NJ,70,30023,14372,35484,,,-74.4381,40.5237,https://newbrunswick.rutgers.edu/,,,1766,,,,,,
Baylor University,Waco,TX,71,42006,,14189,19632,Urban,-97.2789,31.4867,http://www.baylor.edu,,South,1845,Private not-for-profit,Doctoral Universities: High Research Activity,15,77376398,95,93
Stevens Institute of Technology,Hoboken,NJ,71,48838,,2873,8158,Suburban,-74.0273,40.7420,http://www.stevens.edu/sit,,Northeast,1870,Private not-for-profit,Doctoral Universities: High Research Activity,12,29076665,99,99
University of Minnesota--Twin Cities,Minneapolis,MN,71,22210,13790,34071,,,-93.2277,44.9740,https://twin-cities.umn.edu/,,,1851,,,,,,
American University,Washington,DC,74,44853,,7909,16032,Urban,-77.0867,38.9385,http://www.american.edu,,Northeast,1893,Private not-for-profit,Doctoral Universities: High Research Activity,11,29292043,74,57
Clark University,Worcester,MA,74,43150,,2397,,,-71.8201,42.2499,https://www.clarku.edu/,,,1887,,,,,,
Texas A&M University--College Station,College Station,TX,74,28768,10176,48960,,,-96.3686,30.5669,https://www.tamu.edu/,,,1876,,,,,,
University of Massachusetts--Amherst,Amherst,MA,74,30123,13790,22748,,,-72.5254,42.3863,https://www.umass.edu/,,,1863,,,,,,
Virginia Tech,Blacksburg,VA,74,29371,12852,25384,38350,Urban,-80.4106,37.2263,http://vt.edu,,,1872,Public,Doctoral Universities: Very High Research Activity,14,30506575,66,59
Miami University--Oxford,Oxford,OH,79,31592,14288,16387,,,-84.7345,39.5087,https://miamioh.edu/,,,1809,,,,,,
University of California--Santa Cruz,Santa Cruz,CA,79,40241,13559,16231,,,-122.0593,36.9821,https://www.ucsc.edu/,,,1965,,,,,,
University of Delaware,Newark,DE,79,31420,12520,18322,26527,Suburban,-75.7536,39.6776,http://www.udel.edu,,Northeast,1743,Public,Doctoral Universities: Very High Research Activity,15,45896491,89,85
Colorado School of Mines,Golden,CO,82,34828,17383,4608,7092,Suburban,-105.2223,39.7512,http://www.mines.edu,,West,1874,Public,Doctoral Universities: High Research Activity,17,12324552,90,83
Michigan State University,East Lansing,MI,82,39090,14070,39143,55406,Urban,-84.4798,42.7305,http://www.msu.edu,,Midwest,1855,Public,Doctoral Universities: Very High Research Activity,16,62753112,71,57
Texas Christian University,Fort Worth,TX,82,42670,,8894,11506,Urban,-97.3292,32.7486,http://www.tcu.edu,,South,1873,Private not-for-profit,Doctoral Universities: High Research Activity,13,44462458,82,74
University of Iowa,Iowa City,IA,82,28413,8325,23357,34495,Urban,-91.5365,41.6625,http://www.uiowa.edu,,Midwest,1847,Public,Doctoral Universities: Very High Research Activity,16,37489127,87,72
Binghamton University--SUNY,Binghamton,NY,86,22164,9044,13491,,,-75.9695,42.0894,https://www.binghamton.edu/,,,1946,,,,,,
Indiana University--Bloomington,Bloomington,IN,86,34246,10388,38364,,,-86.5230,39.1682,https://www.indiana.edu/,,,1820,,,,,,
Marquette University,Milwaukee,WI,86,38470,,8334,12601,Urban,-87.9068,43.0418,http://www.marquette.edu,,Midwest,1881,Private not-for-profit,Doctoral Universities: High Research Activity,13,50489177,100,100
University of Denver,Denver,CO,86,46362,,5758,15412,Urban,-104.9594,39.6767,http://www.du.edu,,West,1864,Private not-for-profit,Doctoral Universities: High Research Activity,11,37315415,90,89
University of San Diego,San Diego,CA,86,46140,,5647,10181,Urban,-117.1850,32.7717,http://www.sandiego.edu,,West,1949,Private not-for-profit,Doctoral Universities: High Research Activity,13,29932306,82,79
University of Tulsa,Tulsa,OK,86,38796,,3478,4546,Urban,-95.9461,36.1496,http://www.utulsa.edu,,South,1894,Private not-for-profit,Doctoral Universities: High Research Activity,10,27921673,99,99
Florida State University,Tallahassee,FL,92,24673,9507,32706,47836,Urban,-84.2108,30.3867,http://www.fsu.edu,,South,1851,Public,Doctoral Universities: Very High Research Activity,21,66632849,96,95
North Carolina State University--Raleigh,Raleigh,NC,92,26399,8880,24111,,,-78.6821,35.7847,https://www.ncsu.edu/,,,1887,,,,,,
University of Colorado--Boulder,Boulder,CO,92,35079,11531,27010,,,-105.2659,40.0076,https://www.colorado.edu/,,,1876,,,,,,
University of Vermont,Burlington,VT,92,40364,17300,10973,15903,Urban,-73.2006,44.4745,http://www.uvm.edu,,Northeast,1791,Public,Doctoral Universities: High Research Activity,16,46200374,96,95
Drexel University,Philadelphia,PA,96,51030,,14138,27720,Urban,-75.1866,39.9537,http://www.drexel.edu,,Northeast,1891,Private not-for-profit,Doctoral Universities: Very High Research Activity,11,96187904,100,100
Saint Louis University,St. Louis,MO,96,40726,,8248,14756,Urban,-90.2338,38.6345,http://www.slu.edu,,Midwest,1818,Private not-for-profit,Doctoral Universities: High Research Activity,9,64544919,98,98
Stony Brook University--SUNY,Stony Brook,NY,96,26266,9026,16831,,,-73.1240,40.9048,https://www.stonybrook.edu/,,,1957,,,,,,
Auburn University,Auburn,AL,99,28840,10696,21786,32840,Urban,-85.4817,32.6075,http://www.auburn.edu,,South,1856,Public,Doctoral Universities: Very High Research Activity,20,29534482,74,67
Loyola University Chicago,Chicago,IL,99,41384,,11079,19692,Urban,-87.6573,41.9983,http://www.luc.edu,,Midwest,1870,Private not-for-profit,Doctoral Universities: High Research Activity,14,60213922,99,98
SUNY College of Environmental Science and Forestry,Syracuse,NY,99,17620,7770,1839,,,-76.1366,43.0345,https://www.esf.edu/,,,1911,,,,,,
University at Buffalo--SUNY,Buffalo,NY,99,26270,9770,19951,,,-78.7890,43.0008,https://www.buffalo.edu/,,,1846,,,,,,
Illinois Institute of Technology,Chicago,IL,103,45214,,2991,7261,Urban,-87.6269,41.8347,http://www.iit.edu,,Midwest,1890,Private not-for-profit,Doctoral Universities: High Research Activity,10,21734418,100,100
University of Alabama,Tuscaloosa,AL,103,26950,10470,31958,42096,Urban,-87.4747,33.1678,http://www.ua.edu,,South,1820,Public,Doctoral Universities: Very High Research Activity,20,75612520,85,78
University of Oregon,Eugene,OR,103,33442,10762,20538,24381,Urban,-123.0885,44.0499,http://www.uoregon.edu,,West,1876,Public,Doctoral Universities: Very High Research Activity,18,27686043,89,63
University of Tennessee,Knoxville,TN,103,30858,12668,21863,,,-83.9295,35.9544,https://www.utk.edu/,,,1794,,,,,,
Rochester Institute of Technology,Rochester,NY,107,38568,,12607,18231,Suburban,-77.6744,43.0847,http://www.rit.edu,,Northeast,1829,Private not-for-profit,Doctoral Universities: High Research Activity,13,65479856,99,98
University of New Hampshire,Durham,NH,107,31424,17624,13034,16001,Suburban,-70.9248,43.1342,http://www.unh.edu,,Northeast,1866,Public,Doctoral Universities: Very High Research Activity,16,32132329,95,93
University of San Francisco,San Francisco,CA,107,44494,,6782,12171,Urban,-122.4519,37.7751,http://www.usfca.edu,,West,1855,Private not-for-profit,Doctoral/Professional Universities,12,30904033,90,90
University of South Carolina,Columbia,SC,107,31282,11854,25237,38526,Urban,-81.0452,33.9986,http://www.sc.edu,,South,1801,Public,Doctoral Universities: Very High Research Activity,18,39099419,94,92
Iowa State University,Ames,IA,111,21483,7969,30034,35319,Urban,-93.6202,42.0253,http://www.iastate.edu,,Midwest,1858,Public,Doctoral Universities: Very High Research Activity,18,38950588,93,86
University of Dayton,Dayton,OH,111,40940,,8665,12544,Urban,-84.1802,39.7405,http://www.udayton.edu,,Midwest,1850,Private not-for-profit,Doctoral Universities: High Research Activity,15,54876592,97,95
University of Missouri,Columbia,MO,111,25892,9518,27812,,,-92.3277,38.9404,https://missouri.edu/,,,1839,,,,,,
University of Nebraska--Lincoln,Lincoln,NE,111,23148,8628,20182,,,-96.7005,40.8202,https://www.unl.edu/,,,1869,,,,,,
University of Oklahoma,Norman,OK,111,21451,8065,22132,,,-97.4457,35.2059,https://www.ou.edu/,,,1890,,,,,,
University of the Pacific,Stockton,CA,111,44588,,3735,,,-121.3129,37.9799,https://www.pacific.edu/,,,1851,,,,,,
University of Utah,Salt Lake City,UT,111,27039,8518,23794,38335,Urban,-111.8498,40.7654,http://www.utah.edu,,West,1850,Public,Doctoral Universities: Very High Research Activity,17,30117505,87,80
Michigan Technological University,Houghton,MI,118,30968,14634,5721,7786,Rural,-88.5514,47.1190,http://www.mtu.edu,,Midwest,1885,Public,Doctoral Universities: High Research Activity,13,17892362,99,99
Seton Hall University,South Orange,NJ,118,39258,,6090,11390,Suburban,-74.2474,40.7446,http://www.shu.edu,,Northeast,1856,Private not-for-profit,Doctoral Universities: High Research Activity,14,43765073,100,99
Temple University,Philadelphia,PA,118,25994,15688,28609,42075,Urban,-75.1624,39.9523,http://www.temple.edu,,Northeast,1884,Public,Doctoral Universities: Very High Research Activity,13,47265447,91,86
University of California--Riverside,Riverside,CA,118,40263,13581,18608,,,-117.3281,33.9737,https://www.ucr.edu/,,,1907,,,,,,
University of Kansas,Lawrence,KS,118,25932,10549,19245,30983,Urban,-95.2605,38.9561,http://www.ku.edu,,Midwest,1865,Public,Doctoral Universities: Very High Research Activity,17,32208701,85,76
University of St. Thomas,St. Paul,MN,118,39594,,6240,,,-93.1897,44.9431,https://www.stthomas.edu/,,,1885,,,,,,
The Catholic University of America,Washington,DC,124,42536,,3480,6156,Urban,-76.9975,38.9327,http://www.cua.edu,,Northeast,1887,Private not-for-profit,Doctoral Universities: High Research Activity,11,23750464,98,98
DePaul University,Chicago,IL,124,37626,,15961,25937,Urban,-87.6275,41.8782,http://www.depaul.edu/pages/default.aspx,,Midwest,1898,Private not-for-profit,Doctoral Universities: High Research Activity,17,62751712,98,97
Duquesne University,Pittsburgh,PA,124,35062,,5961,10187,Urban,-79.9939,40.4381,http://www.duq.edu,,Northeast,1878,Private not-for-profit,Doctoral Universities: High Research Activity,13,30975668,100,100
Howard University,Washington,DC,124,24908,,6883,9831,Urban,-77.0211,38.9227,http://www.howard.edu,,Northeast,1867,Private not-for-profit,Doctoral Universities: High Research Activity,12,42564951,98,98
University of Arizona,Tucson,AZ,124,30025,10872,33732,49966,Urban,-110.9698,32.2216,http://www.arizona.edu,,West,1885,Public,Doctoral Universities: Very High Research Activity,15,81922534,95,93
Arizona State University--Tempe,Tempe,AZ,129,25458,10158,41828,,,-111.9281,33.4242,https://www.asu.edu/,,,1885,,,,,,
Clarkson University,Potsdam,NY,129,46132,,3257,4697,Rural,-74.9941,44.6670,http://www.clarkson.edu,,Northeast,1896,Private not-for-profit,Doctoral Universities: High Research Activity,13,30788988,100,100
Colorado State University,Fort Collins,CO,129,28374,11080,24433,,,-105.0865,40.5734,https://www.colostate.edu/,,,1870,,,,,,
New School,New York,NY,129,45535,,6792,12046,Urban,-73.9966,40.7355,http://www.newschool.edu,,Northeast,1919,Private not-for-profit,Doctoral Universities: High Research Activity,9,25406466,84,84
Hofstra University,Hempstead,NY,133,42160,,6824,11750,Suburban,-73.6228,40.7099,http://hofstra.edu,,Northeast,1935,Private not-for-profit,Doctoral/Professional Universities,13,42852227,98,97
University of Kentucky,Lexington,KY,133,26334,11484,22705,32756,Urban,-84.5003,38.0486,http://www.uky.edu,,South,1865,Public,Doctoral Universities: Very High Research Activity,16,57761910,95,93
Kansas State University,Manhattan,KS,135,23429,9350,19859,23353,Urban,-96.5618,39.1788,http://www.k-state.edu,,Midwest,1863,Public,Doctoral Universities: Very High Research Activity,18,21834511,88,82
Louisiana State University--Baton Rouge,Baton Rouge,LA,135,27005,9842,26156,,,-91.1800,30.4133,https://www.lsu.edu/,,,1860,,,,,,
Mercer University,Macon,GA,135,35130,,4667,9933,Urban,-83.6480,32.8322,http://www.mercer.edu,,South,1833,Private not-for-profit,Doctoral Universities: High Research Activity,14,28611454,100,100
New Jersey Institute of Technology,Newark,NJ,135,30326,16108,8008,13619,Urban,-74.1826,40.7438,http://www.njit.edu,,Northeast,1881,Public,Doctoral Universities: Very High Research Activity,15,18107118,93,86
Rutgers University--Newark,Newark,NJ,135,29480,13829,7713,,,-74.1728,40.7419,https://www.newark.rutgers.edu/,,,1766,,,,,,
University of Arkansas,Fayetteville,AR,135,23168,8820,22159,30137,Urban,-94.1579,36.0632,http://www.uark.edu,,South,1871,Public,Doctoral Universities: Very High Research Activity,19,21855127,87,84
University of Cincinnati,Cincinnati,OH,135,26334,11000,25054,46140,Urban,-84.5614,39.1256,http://www.uc.edu,,Midwest,1819,Public,Doctoral Universities: Very High Research Activity,19,25238162,93,91
University of Mississippi,Lafayette,MS,135,22012,7744,18785,24309,Rural,-89.5302,34.3700,http://www.olemiss.edu,,,1844,Public,Doctoral Universities: Very High Research Activity,16,30638509,87,82
George Mason University,Fairfax,VA,143,32582,11300,23062,49755,Suburban,-77.3109,38.8350,http://www.gmu.edu,,South,1949,Public,Doctoral Universities: Very High Research Activity,17,22926441,75,62
Oregon State University,Corvallis,OR,143,28846,10366,24612,37586,Urban,-123.2820,44.5645,http://oregonstate.edu,,West,1868,Public,Doctoral Universities: Very High Research Activity,18,18537198,88,80
Washington State University,Pullman,WA,143,25673,11041,24470,35394,Rural,-117.1815,46.7302,http://www.wsu.edu,,West,1890,Public,Doctoral Universities: Very High Research Activity,16,38822168,92,87
Adelphi University,Garden City,NY,146,34034,,4852,9074,Suburban,-73.6369,40.7261,http://www.adelphi.edu,,Northeast,1896,Private not-for-profit,Doctoral/Professional Universities,12,24087209,92,91
Ohio University,Athens,OH,146,21208,11744,23513,31679,Rural,-82.1044,39.3285,http://www.ohio.edu,,Midwest,1804,Public,Doctoral Universities: High Research Activity,16,23005829,95,88
San Diego State University,San Diego,CA,146,18244,7084,29234,38336,Urban,-117.0719,32.7723,http://www.sdsu.edu,,West,1897,Public,Doctoral Universities: High Research Activity,27,23021824,61,47
St. John Fisher College,Rochester,NY,146,31880,,2805,,,-77.5112,43.1139,https://www.sjf.edu/,,,1948,,,,,,
University at Albany--SUNY,Albany,NY,146,22244,9124,12908,,,-73.8248,42.6850,https://www.albany.edu/,,,1844,,,,,,
University of Texas--Dallas,Dallas,TX,146,33654,12162,15575,,,-96.7502,32.9857,https://www.utdallas.edu/,,,1969,,,,,,
Illinois State University,Normal,IL,152,20886,13296,18426,23141,Suburban,-88.9941,40.5108,http://www.illinoisstate.edu,,Midwest,1857,Public,Doctoral Universities: High Research Activity,19,34820222,94,89
Immaculata University,East Whiteland Township,PA,152,35210,,1790,,,-75.5685,40.0279,https://www.immaculata.edu/,,,1920,,,,,,
Oklahoma State University,Stillwater,OK,152,20978,7778,21046,26463,Rural,-97.0587,36.1163,http://okstate.edu,,South,1890,Public,Doctoral Universities: Very High Research Activity,18,33859117,92,86
University of California--Merced,Merced,CA,152,39944,13262,6237,,,-120.4241,37.3647,https://www.ucmerced.edu/,,,2005,,,,,,
University of Illinois--Chicago,Chicago,IL,152,26526,13670,17575,,,-87.6484,41.8686,https://www.uic.edu/,,,1859,,,,,,
University of La Verne,La Verne,CA,152,39900,,2864,,,-117.7716,34.1002,https://laverne.edu/,,,1891,,,,,,
University of Massachusetts--Lowell,Lowell,MA,152,29125,13427,13266,,,-71.3247,42.6553,https://www.uml.edu/,,,1894,,,,,,
Seattle Pacific University,Seattle,WA,159,38940,,3202,3920,Urban,-122.3609,47.6497,http://www.spu.edu,,West,1891,Private not-for-profit,Doctoral/Professional Universities,13,20304637,99,99
University of Alabama--Birmingham,Birmingham,AL,159,17654,7766,11511,,,-86.8057,33.5020,https://www.uab.edu/home/,,,1969,,,,,,
University of Maryland--Baltimore County,Baltimore,MD,159,24492,11264,11243,,,-76.7115,39.2498,https://umbc.edu/,,,1966,,,,,,
University of Rhode Island,Kingston,RI,159,28852,12862,13641,21108,Suburban,-71.5217,41.4800,http://www.uri.edu,,Northeast,1892,Public,Doctoral Universities: High Research Activity,17,34449621,98,90
